2024,04,02,f,Yogurt (4oz), 100.0 calories, 1.50 proteins, 19.00 carbs, 4.00 fats
2024,04,12,f,Hot Dog, 190.0 calories, 16.00 proteins, 4.00 carbs, 7.00 fats
2024,04,12,f,Yogurt (4oz), 100.0 calories, 1.50 proteins, 19.00 carbs, 4.00 fats
2024,04,12,f,Hot Dog, 190.0 calories, 16.00 proteins, 4.00 carbs, 7.00 fats
2024,04,12,f,Yogurt (4oz), 100.0 calories, 1.50 proteins, 19.00 carbs, 4.00 fats
2024,04,12,f,Hot Dog Bun, 110.0 calories, 1.50 proteins, 21.00 carbs, 3.00 fats
2024,04,12,f,Yogurt (4oz), 100.0 calories, 1.50 proteins, 19.00 carbs, 4.00 fats
2024,04,12,f,Hot Dog Bun, 110.0 calories, 1.50 proteins, 21.00 carbs, 3.00 fats
2024,04,15,f,Berry Pie Slice, 360.0 calories, 17.50 proteins, 49.20 carbs, 4.00 fats
2024,04,15,f,Yogurt (4oz), 100.0 calories, 1.50 proteins, 19.00 carbs, 4.00 fats
2024,04,14,e,Bench,20.0
2024,04,15,e,Run,20.2
2024,04,15,e,Moonwalk,20.0
2024,04,13,w,56
2024,04,15,w,50
2024,04,14,c,1234
2024,04,15,c,3333
